广东港澳台,#genre#
金鹰卡通,http://111.12.102.68:6610/PLTV/77777777/224/3221225702/index.m3u8?
卡酷少儿,http://111.12.102.68:6610/PLTV/77777777/224/3221225730/index.m3u8?
优漫卡通,http://111.12.102.68:6610/PLTV/77777777/224/3221225791/index.m3u8?
嘉佳卡通,http://111.12.102.68:6610/PLTV/77777777/224/3221225797/index.m3u8?
动漫电影频道,http://112.17.40.140/PLTV/88888888/224/3221226178/index.m3u8
亞洲影院,http://101.71.255.229:6610/zjhs/2/10052/z.m3u8?ZTEUPSTREAM=1&amp;IASHttpSessionId=SLB4328320190321203540013412&amp;m3u8_level=2&amp;ztecid=10052&amp;virtualDomain=zjhs.live_hls.zte.com&amp;ispcode=3&amp;tid=C3V7K4ET1VFDUJY6C1IASRV55G66&amp;ts=1553493153
央视,#genre#
CCTV-1蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225674/index.m3u8?
CCTV-1蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225654/index.m3u8?
CCTV-1蓝光3,http://111.12.102.68:6610/PLTV/77777777/224/3221225772/index.m3u8?
CCTV-2蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225676/index.m3u8?
CCTV-2蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225657/index.m3u8?
CCTV-2蓝光3,http://112.17.40.145/PLTV/88888888/224/3221226138/index.m3u8
CCTV-3蓝光1,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-3/1.m3u8
CCTV-3蓝光2,http://111.63.117.13:6060/030000001000/CCTV-3/CCTV-3.m3u8
CCTV-4蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225775/index.m3u8?
CCTV-4蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225761/index.m3u8?
CCTV-4蓝光3,http://111.12.102.68:6610/PLTV/77777777/224/3221225753/index.m3u8?
CCTV-5蓝光2,http://112.17.40.145/PLTV/88888888/224/3221226687/index.m3u8
CCTV-5蓝光3,http://111.12.102.68:6610/PLTV/77777777/224/3221225516/index.m3u8?
CCTV-5+蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225621/index.m3u8?
CCTV-5+蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225712/index.m3u8?
CCTV-5+蓝光3,http://117.169.124.46:6410/ysten-businessmobile/live/hdcctv05plus/1.m3u8
CCTV-6蓝光1,http://223.110.243.139/PLTV/3/224/3221225548/index.m3u8
CCTV-6蓝光2,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-6/1.m3u8
CCTV-6蓝光3,http://111.12.102.68:6610/PLTV/77777777/224/3221225715/index.m3u8?
CCTV-7蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225627/index.m3u8?
CCTV-7蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225700/index.m3u8?
CCTV-7蓝光3,http://112.17.40.7:80/PLTV/88888888/224/3221226122/index.m3u8
CCTV-8蓝光1,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-8/1.m3u8
CCTV-8蓝光3,http://111.12.102.68:6610/PLTV/77777777/224/3221225630/index.m3u8?
CCTV-9蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225633/index.m3u8?
CCTV-9蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225663/index.m3u8?
CCTV-9蓝光3,http://112.17.40.8:80/PLTV/88888888/224/3221226156/index.m3u8
CCTV-10蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225624/index.m3u8?
CCTV-10蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225704/index.m3u8?
CCTV-10蓝光3,http://112.17.40.48:80/PLTV/88888888/224/3221226199/index.m3u8
CCTV-11蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225739/index.m3u8?
CCTV-11蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225750/index.m3u8?
CCTV-11蓝光3,http://39.135.250.71/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226057/00000001000000060000000000000497_mdn_1.smil?回看=http://92ltw.top/cjwx/PLTV/xxjxhk.php?id=5628.sm
CCTV-12蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225645/index.m3u8?
CCTV-12蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225670/index.m3u8?
CCTV-12蓝光3,http://112.17.40.8:80/PLTV/88888888/224/3221226167/index.m3u8
CCTV-13蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225677/index.m3u8?
CCTV-13蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225713/index.m3u8?
CCTV-13蓝光3,http://111.12.102.68:6610/PLTV/77777777/224/3221225742/index.m3u8?
CCTV-14蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225673/index.m3u8?
CCTV-14蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225648/index.m3u8?
CCTV-14蓝光3,http://117.148.187.37/PLTV/88888888/224/3221226126/index.m3u8
CCTV-15蓝光1,http://39.135.138.60:18890/PLTV/88888910/224/3221225641/index.m3u8
CCTV-15蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225693/index.m3u8?
CCTV-15蓝光3,http://111.12.102.68:6610/PLTV/77777777/224/3221225830/index.m3u8?
CCTV-17蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225513/index.m3u8?
CCTV-17蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225833/index.m3u8?
CCTV-17蓝光3,http://111.12.102.68:6610/PLTV/77777777/224/3221225766/index.m3u8?
CCTV-4K蓝码,http://112.17.40.12/PLTV/88888888/224/3221226758/1.m3u8
CCTV-4K高码1,http://112.17.40.140/PLTV/88888888/224/3221226758/index.m3u8
CCTV-4K高码2,http://39.134.176.148/PLTV/88888888/224/3221226758/index.m3u8
CCTV-4K高码3,http://117.148.187.83/PLTV/88888888/224/3221226758/index.m3u8
卫视,#genre#
北京卫视蓝光1,http://117.169.119.199:8080/live/hdbeijingstv/index.m3u8
北京卫视蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225664/index.m3u8?
北京卫视蓝光3,http://111.12.102.68:6610/PLTV/77777777/224/3221225651/index.m3u8?
北京冬奥蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225667/index.m3u8?
北京冬奥蓝光2,http://117.169.119.199:8080/live/HD-8000k-1080P-beijingjishi/index.m3u8
天津卫视蓝光1,http://39.134.66.66/PLTV/88888888/224/3221225665/index.m3u8
天津卫视蓝光2,http://112.17.40.140/PLTV/88888888/224/3221226412/index.m3u8
天津卫视蓝光3,http://111.12.102.68:6610/PLTV/77777777/224/3221225675/index.m3u8?
东方卫视蓝光1,http://39.135.138.59:18890/PLTV/88888910/224/3221225659/index.m3u8
东方卫视蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225682/index.m3u8?
东方卫视蓝光3,http://111.12.102.68:6610/PLTV/77777777/224/3221225718/index.m3u8?
湖南卫视蓝光1,http://112.17.40.140/PLTV/88888888/224/3221226553/index.m3u8
湖南卫视蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225692/index.m3u8?
湖南卫视蓝光3,http://111.12.102.68:6610/PLTV/77777777/224/3221225719/index.m3u8?
浙江卫视蓝光2,http://223.110.243.173/PLTV/3/224/3221227215/index.m3u8
浙江卫视蓝光3,http://111.12.102.68:6610/PLTV/77777777/224/3221225695/index.m3u8?
江苏卫视蓝光1,http://39.134.39.39/PLTV/88888888/224/3221226157/index.m3u8
江苏卫视蓝光2,http://112.17.40.140/PLTV/88888888/224/3221226414/index.m3u8
江苏卫视蓝光3,http://111.12.102.68:6610/PLTV/77777777/224/3221225636/index.m3u8?
东南卫视蓝光1,http://117.169.124.37:6610/ysten-businessmobile/live/dongnanstv/yst.m3u8
东南卫视蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225696/index.m3u8?
东南卫视蓝光3,http://39.134.115.163:8080/PLTV/88888910/224/3221225657/index.m3u8
山东卫视蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225642/index.m3u8?
山东卫视蓝光3,http://111.12.102.68:6610/PLTV/77777777/224/3221225672/index.m3u8?
湖北卫视蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225689/index.m3u8?
湖北卫视蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225721/index.m3u8?
湖北卫视蓝光3,http://223.110.243.171/PLTV/3/224/3221227211/index.m3u8
安徽卫视蓝光1,http://39.134.66.66/PLTV/88888888/224/3221225675/index.m3u8
安徽卫视蓝光3,http://111.12.102.68:6610/PLTV/77777777/224/3221225671/index.m3u8?
广东卫视蓝光1,http://39.134.66.66/PLTV/88888888/224/3221225667/index.m3u8
广东卫视蓝光2,http://112.17.40.140/PLTV/88888888/224/3221226225/index.m3u8
广东卫视蓝光3,http://111.12.102.68:6610/PLTV/77777777/224/3221225666/index.m3u8?
深圳卫视蓝光1,http://39.134.115.163:8080/PLTV/88888910/224/3221225741/index.m3u8
深圳卫视蓝光2,http://223.110.243.171/PLTV/3/224/3221227217/index.m3u8
深圳卫视蓝光3,http://111.12.102.68:6610/PLTV/77777777/224/3221225691/index.m3u8?
辽宁卫视蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225639/index.m3u8?
辽宁卫视蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225779/index.m3u8?
辽宁卫视蓝光3,http://223.110.245.145/ott.js.chinamobile.com/PLTV/3/224/3221227410/index.m3u8
龙江卫视蓝光1,http://39.134.116.30:8080/PLTV/88888910/224/3221225690/index.m3u8
龙江卫视蓝光2,http://112.17.40.140/PLTV/88888888/224/3221226555/index.m3u8
龙江卫视蓝光3,http://111.12.102.68:6610/PLTV/77777777/224/3221225686/index.m3u8?
吉林卫视蓝光1,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=25&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
吉林卫视蓝光2,http://116.199.5.52:8114/00000000/index.m3u8?&amp;Fsv_ctype=LIVES&amp;Fsv_otype=1&amp;FvSeid=5abd1660af1babb4&amp;Fsv_filetype=1&amp;Fsv_ctype=LIVES&amp;Fsv_cid=0&amp;Fsv_chan_hls_se_idx=25&amp;Fsv_rate_id=0&amp;Fsv_SV_PARAM1=0&amp;Fsv_ShiftEnable=0&amp;Fsv_ShiftTsp=0&amp;Provider_id=&amp;Pcontent_id=&amp;Fsv_CMSID=&amp;Fsv_otype=1
吉林卫视蓝光3,http://39.134.168.91/PLTV/1/224/3221225586/index.m3u8
江西卫视蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225669/index.m3u8?
江西卫视蓝光2,http://112.17.40.140/PLTV/88888888/224/3221226557/index.m3u8
江西卫视蓝光3,http://112.17.40.8:80/PLTV/88888888/224/3221226557/index.m3u8
河南卫视蓝光1,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=19&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
河南卫视超清2,http://223.110.245.157/ott.js.chinamobile.com/PLTV/3/224/3221225815/index.m3u8
海南卫视蓝光1,http://39.134.39.37/PLTV/88888888/224/3221226301/index.m3u8
海南卫视蓝光2,http://39.134.39.39/PLTV/88888888/224/3221226301/index.m3u8
云南卫视蓝光1,http://39.130.215.166:6410/gitv_live/G_YUNNAN-HD/G_YUNNAN-HD.m3u8
云南卫视超清1,http://223.110.245.159/ott.js.chinamobile.com/PLTV/3/224/3221225838/index.m3u8
贵州卫视蓝光1,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=41&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
重庆卫视蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225745/index.m3u8?
重庆卫视蓝光2,http://ivi.bupt.edu.cn/hls/cqhd.m3u8
陕西卫视高清2,http://112.17.40.140/PLTV/88888888/224/3221226177/index.m3u8
甘肃卫视蓝光1,http://39.134.39.39/PLTV/88888888/224/3221226240/index.m3u8
甘肃卫视超清2,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=142&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
宁夏卫视超清1,http://223.110.245.151/ott.js.chinamobile.com/PLTV/3/224/3221225842/index.m3u8
宁夏卫视超清2,http://39.134.115.163:8080/PLTV/88888910/224/3221225726/index.m3u8
青海卫视超清2,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=206&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
青海卫视超清2,http://39.134.168.91/PLTV/1/224/3221225622/index.m3u8
新疆卫视高清2,http://39.134.115.163:8080/PLTV/88888910/224/3221225725/index.m3u8
西藏卫视高清2,http://39.134.115.163:8080/PLTV/88888910/224/3221225723/index.m3u8
内蒙卫视蓝光1,http://live.m2oplus.nmtv.cn/1/sd/live.m3u8
内蒙卫视超清2,http://223.110.245.161/ott.js.chinamobile.com/PLTV/3/224/3221225836/index.m3u8
山西卫视高清2,http://39.134.168.91/PLTV/1/224/3221225646/index.m3u8
广西卫视高清2,http://39.134.168.91/PLTV/1/224/3221225598/index.m3u8
南方卫视高清2,http://223.110.245.153/ott.js.chinamobile.com/PLTV/3/224/3221227005/index.m3u8
兵团卫视高清2,http://39.134.168.91/PLTV/1/224/3221225634/index.m3u8
地方,#genre#
浙江柯桥综合,http://live.scbtv.cn/hls/news/index.m3u8
浙江柯桥时尚台,http://live.scbtv.cn/hls/qfc/index.m3u8
浙江影视台,http://hw-m-l.cztv.com/channels/lantian/channel05/1080p.m3u8
浙江少儿台,http://hw-m-l.cztv.com/channels/lantian/channel08/1080p.m3u8
浙江教育台,http://hw-m-l.cztv.com/channels/lantian/channel04/1080p.m3u8
浙江钱江台,http://hw-m-l.cztv.com/channels/lantian/channel02/1080p.m3u8
浙江休闲台,http://hw-m-l.cztv.com/channels/lantian/channel06/1080p.m3u8
浙江经济台,http://hw-m-l.cztv.com/channels/lantian/channel03/1080p.m3u8
浙江新闻台,http://hw-m-l.cztv.com/channels/lantian/channel07/1080p.m3u8
浙江留学世界台,http://hw-m-l.cztv.com/channels/lantian/channel09/1080p.m3u8
浙江舟山综合台,http://live.wifizs.cn/xwzh/sd/live.m3u8
浙江舟山生活台,http://live.wifizs.cn/ggsh/sd/live.m3u8
浙江绍兴综合台,http://live.shaoxing.com.cn/video/s10001-sxtv1/index.m3u8
浙江绍兴影视台,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8
浙江绍兴公共台,http://live.shaoxing.com.cn/video/s10001-sxtv2/index.m3u8
湖北黄冈新闻频道,http://huanggang.live.cjyun.org/video/s10120-xwzh.m3u8
湖北夷陵电视台,http://yiling.live.cjyun.org/video/s10174-TC1T/index.m3u8
湖北襄阳综合,http://xiangyang.live.cjyun.org/video/s10125-news_hd/index.m3u8
湖北襄阳公共,http://xiangyang.live.cjyun.org/video/s10125-education_hd/index.m3u8
湖北孝感新闻综合,http://xiaogan.live.cjyun.org/video/s10139-xg/index.m3u8
湖北孝感公共频道,http://xiaogan.live.cjyun.org/video/s10139-shpd/index.m3u8
湖北鄂州新闻综合,http://ezhou.live.cjyun.org/video/s10098-EZ2T/index.m3u8
湖北鄂州公共频道,http://ezhou.live.cjyun.org/video/s10098-EZ1T/index.m3u8
湖北咸宁综合频道,http://xianning.live.cjyun.org/video/s10140-XNTV-1/index.m3u8
湖北孝昌新闻党建,http://xiaochang.live.cjyun.org/video/s10128-xcxw/index.m3u8
湖北孝昌生活频道,http://xiaochang.live.cjyun.org/video/s10128-xcsh/index.m3u8
湖北罗田综合,http://luotian.live.cjyun.org/video/s10013-LTZH/index.m3u8
湖北红安综合,http://hongan.live.cjyun.org/video/s10063-HAZH.m3u8
湖北大悟综合,http://yunshangdawu.live.tempsource.cjyun.org/videotmp/s10129-dwzhpd.m3u8
湖北应城新闻综合,http://yingcheng.live.cjyun.org/video/s10135-YCZH/index.m3u8
湖北应城生活频道,http://yingcheng.live.cjyun.org/video/s10135-YCDJ/index.m3u8
湖北秭归新闻综合,http://zigui.live.cjyun.org/video/s10111-ZGTV1.m3u8
湖北大冶一套,http://dayeyun.live.tempsource.cjyun.org/videotmp/s10102-TC1T.m3u8
湖北大冶二套,http://dayeyun.live.tempsource.cjyun.org/videotmp/s10102-TC2T.m3u8
湖北嘉鱼新闻综合,http://jiayu.live.tempsource.cjyun.org/videotmp/s10131-jyzh.m3u8
湖北鹤峰综合频道,http://hefeng.live.tempsource.cjyun.org/videotmp/s10100-hftv.m3u8
湖北广水新闻频道,http://guangshui.live.tempsource.cjyun.org/videotmp/s10146-GSXW.m3u8
湖北咸宁综合,http://xianning.live.cjyun.org/video/s10140-XNGG.flv
湖北咸宁公共频道,http://xianning.live.cjyun.org/video/s10140-XNTV-1.flv
湖南娄底综合台,http://mms.ldntv.cn:1935/live/zonghe/playlist.m3u8
湖南长沙影视台,http://35848.hlsplay.aodianyun.com/guangdianyun_35848/tv_channel_350.m3u8
湖南湘西综合台,http://36514.hlsplay.aodianyun.com/tv_radio_36514/tv_channel_1382.m3u8
湖南湘西公共台,http://36514.hlsplay.aodianyun.com/tv_radio_36514/tv_channel_1381.m3u8
湖南湘潭综合台,http://live.hnxttv.com:9601/live/xwzh/800K/tzwj_video.m3u8
湖南张家界公共,http://stream.zjjrtv.com/zjjtv2/hd/live.m3u8
江苏吴江综合台,http://30515.hlsplay.aodianyun.com/lms_30515/tv_channel_239.m3u8
江苏张家港综合,http://3gvod.zjgonline.com.cn:1935/live/xinwenzonghe2/playlist.m3u8
江苏张家港民生,http://3gvod.zjgonline.com.cn:1935/live/shehuishenghuo2/playlist.m3u8
江苏连云港综合,http://live.lyg1.com/zhpd/sd/live.m3u8
江苏连云港公共,http://live.lyg1.com/ggpd/sd/live.m3u8
江苏淮安综合,http://stream.habctv.com/xwzh/sd/live.m3u8
江苏淮安公共,http://stream.habctv.com/hagg/sd/live.m3u8
江苏淮安影视,http://stream.habctv.com/ysyl/sd/live.m3u8
安徽六安综合台,http://live.china-latv.com/channel1/sd/live.m3u8
安徽淮北综合台,http://live.0561rtv.cn/xwzh/hd/live.m3u8
安徽淮北公共台,http://live.0561rtv.cn/ggpd/hd/live.m3u8
安徽郎溪综合台,http://117.70.93.210:1935/live/xinwen/playlist.m3u8
